Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Terry Fator in Las Vegas,04/04/18 07:30 PM,"Terry Fator Theatre at The Mirage, 3400 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/014/060/732-8.jpeg_/terry-fator-32.jpeg,,PST,04/05/18 07:30 PM,"(36.121559, -115.175803)"
Andrea Bocelli in Las Vegas,12/01/18 08:00 PM,"MGM Grand Garden Arena, 3799 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/004/261/966-7.jpeg_/andrea-bocelli-66.jpeg,,PST,12/02/18 08:00 PM,"(36.104313, -115.1685048)"
Cirque du Soleil - Michael Jackson ONE in Las Vegas,04/06/18 07:00 PM,"Michael Jackson ONE Theatre at Mandalay Bay Resort, 3950 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/027/548/227-8.png_/cirque-du-soleil-27.png,,PST,04/07/18 07:00 PM,"(36.0932368, -115.1770654)"
Laugh Factory in Las Vegas,04/04/18 08:30 PM,"Laugh Factory at Tropicana Resort & Casino, 3801 South Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/022/037/227-2.jpeg_/laugh-factory-27.jpeg,,PST,04/05/18 08:30 PM,"(36.0993632, -115.1709616)"
George Lopez in Las Vegas,08/31/18 10:00 PM,"Terry Fator Theatre at The Mirage, 3400 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/655/073-4.jpeg_/george-lopez-73.jpeg,,PST,09/01/18 10:00 PM,"(36.0993632, -115.1709616)"
BACKSTREET BOYS in Las Vegas,07/25/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/014/593/353-8.jpeg_/backstreet-boys-53.jpeg,,PST,07/26/18 09:00 PM,"(36.1099696, -115.1700646)"
Marriage Can Be Murder in Las Vegas,04/04/18 06:30 PM,"The D Casino Hotel, 301 Fremont Street, Las Vegas, Nevada 89101",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/028/170/197-0.png_/marriage-can-murder-97.png,,PST,04/05/18 06:30 PM,"(36.1691042, -115.1432334)"
X Burlesque in Las Vegas,04/04/18 10:00 PM,"Flamingo Hotel and Casino, 3555 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/fallback/event/categories/performing_arts/performing_arts_default_1.jpg,,PST,04/05/18 10:00 PM,"(36.1164409, -115.1707917)"
Ray Romano & David Spade in Las Vegas,04/06/18 10:00 PM,"Terry Fator Theatre at The Mirage, 3400 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/001/346/075-1.jpeg_/ray-romano-75.jpeg,,PST,04/07/18 10:00 PM,"(36.121559, -115.175803)"
Nathan Burton Comedy Magic in Las Vegas,04/04/18 04:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/016/696/606-3.jpeg_/nathan-burton-comedy-magic-06.jpeg,,PST,04/05/18 04:00 PM,"(36.1099696, -115.1700646)"
Crazy Girls in Las Vegas,04/04/18 09:00 PM,"Planet Hollywood Resort and Casino, 3667 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/487/790-8.jpeg_/crazy-girls-90.jpeg,,PST,04/05/18 09:00 PM,"(36.1099696, -115.1700646)"
Paranormal - The Mindreading Magic Show in Las Vegas,04/04/18 04:00 PM,"Bally's Casino Hotel, 3645 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/580/859-7.jpeg_/paranormal-mindreading-magic-show-59.jpeg,,PST,04/05/18 04:00 PM,"(36.1140611, -115.170627)"
Magic Mike Live in Las Vegas,04/04/18 08:00 PM,"Club Domina at the Hard Rock Hotel & Casino, 4455 Paradise Road, Las Vegas, Nevada 89134",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/343/219-6.jpeg_/magic-mike-live-19.jpeg,,PST,04/05/18 08:00 PM,"(36.1089916, -115.1539455)"
Solid Gold Soul in Las Vegas,04/05/18 08:00 PM,"Bally's Casino Hotel, 3645 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/002/529/931-4.jpeg_/solid-gold-31.jpeg,,PST,04/06/18 08:00 PM,"(36.1140611, -115.170627)"
Mat Franco - Magic Reinvented Nightly in Las Vegas,04/04/18 07:00 PM,"The Mat Franco Theater at The Linq, 3535 South Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/847/379-1.jpeg_/mat-franco-magic-reinvented-nightly-79.jpeg,,PST,04/05/18 07:00 PM,"(36.1180599, -115.172594)"
BAZ Star Crossed Love in Las Vegas,04/04/18 07:00 PM,"The Venetian, 3355 Las Vegas Blvd South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/026/917/078-9.jpeg_/baz-star-crossed-love-78.jpeg,,PST,04/05/18 07:00 PM,"(36.1180599, -115.172594)"
Frank Marino's Divas in Las Vegas,04/04/18 09:30 PM,"The LINQ Hotel and Casino, 3535 Las Vegas Boulevard S, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/017/604/101-7.jpeg_/frank-marinos-divas-01.jpeg,,PST,04/05/18 09:30 PM,"(36.1181537, -115.1724421)"
Rich Little in Las Vegas,04/04/18 07:00 PM,"Tropicana Hotel & Casino, 3801 S Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/038/405/175-8.jpeg_/rich-little-75.jpeg,,PST,04/05/18 07:00 PM,"(36.0996349, -115.171358)"
Cirque Du Soleil - Ka in Las Vegas,04/04/18 07:00 PM,"MGM Grand K Theatre, 3799 Las Vegas Blvd. S, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/027/548/227-8.png_/cirque-du-soleil-27.png,,PST,04/05/18 07:00 PM,"(36.102576, -115.1702533)"
Legends In Concert (Las Vegas) in Las Vegas,04/04/18 09:30 PM,"Flamingo Hotel and Casino, 3555 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/002/025/009-1.png_/legends-in-concert-09.png,,PST,04/05/18 09:30 PM,"(36.1164409, -115.1707917)"
